GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auto,com.zubeyde.auto.service,CustomerService,0,33,0,0,0,7,0,6,0,6
auto,com.zubeyde.auto.service,NotificationService,0,52,0,8,0,14,0,8,0,4
auto,com.zubeyde.auto.service,VehicleService,0,61,0,6,0,13,0,6,0,3
auto,com.zubeyde.auto.service,InspectionDetailService,0,77,0,6,0,15,0,8,0,5
auto,com.zubeyde.auto.service,AppointmentService,0,133,0,8,0,28,0,15,0,11
auto,com.zubeyde.auto.service,StationService,0,53,0,0,0,11,0,6,0,6
auto,com.zubeyde.auto.service,InspectionService,0,156,0,18,0,37,0,15,0,6
auto,com.zubeyde.auto.controller,StationController,0,12,0,0,0,3,0,3,0,3
auto,com.zubeyde.auto.controller,CustomerController,0,22,0,0,0,5,0,5,0,5
auto,com.zubeyde.auto.controller,AppointmentController,0,23,0,0,0,5,0,5,0,5
auto,com.zubeyde.auto.controller,VehicleController,0,12,0,0,0,3,0,3,0,3
auto,com.zubeyde.auto.controller,InspectionDetailController,0,19,0,0,0,4,0,4,0,4
auto,com.zubeyde.auto.controller,InspectionController,0,20,0,0,0,4,0,4,0,4
auto,com.zubeyde.auto.exception,NullException,0,4,0,0,0,2,0,1,0,1
auto,com.zubeyde.auto.exception,GlobalExceptionHandler,0,25,0,0,0,6,0,2,0,2
auto,com.zubeyde.auto.entity,InspectionDetail,0,62,0,0,0,23,0,14,0,14
auto,com.zubeyde.auto.entity,Employee,28,3,0,0,8,1,8,1,8,1
auto,com.zubeyde.auto.entity,AppointmentStatus,0,21,0,0,0,4,0,1,0,1
auto,com.zubeyde.auto.entity,Notification,0,3,0,0,0,1,0,1,0,1
auto,com.zubeyde.auto.entity,Brand,0,42,0,0,0,15,0,9,0,9
auto,com.zubeyde.auto.entity,Appointment,4,58,0,0,1,18,1,11,1,11
auto,com.zubeyde.auto.entity,Inspection,0,83,0,0,0,23,0,18,0,18
auto,com.zubeyde.auto.entity,Payment,28,10,0,0,8,3,8,3,8,3
auto,com.zubeyde.auto.entity,Customer,0,62,0,0,0,21,0,13,0,13
auto,com.zubeyde.auto.entity,CriticalLevel,0,21,0,0,0,4,0,1,0,1
auto,com.zubeyde.auto.entity,ChecklistTemplate,0,44,0,0,0,15,0,12,0,12
auto,com.zubeyde.auto.entity,Vehicle,0,64,0,0,0,20,0,16,0,16
auto,com.zubeyde.auto.entity,Station,0,59,0,0,0,20,0,13,0,13
auto,com.zubeyde.auto,AutoApplication,5,3,0,0,2,1,1,1,1,1
